ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
450762109,11/12/2023 4:13 PM,Yes,No,No,No,No,No,No,No,No,Yes,No,56-65,"$100,001 - $200,000","Awesome! Witty, snappy and very entertaining.  I think the kids loved it.",
450763500,11/12/2023 4:18 PM,No,No,No,No,No,No,No,Yes,No,No,No,26-35,"$100,001 - $200,000","Great experience. Fun, exciting, educational! Would recommend. ",
450785535,11/12/2023 5:28 PM,Yes,No,No,No,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",Good,
450789381,11/12/2023 5:46 PM,No,No,No,No,No,No,No,No,Yes,No,No,,,Good,"There was a photographer taking pictures of the audience. When it comes to taking pictures of children and posting them online, people should request permission first. Some people value their privacy and/or don't want to have pictures of their kids posted online. "
450807150,11/12/2023 6:44 PM,No,No,No,No,No,No,No,No,No,Yes,No,46-55,"$100,001 - $200,000",It was very nice. We enjoyed our time there a lot. Sound and lighting were both very good quality for those with a normal hearing range. ,My husband does not hear well - did you have any options to assist with that?  
450808092,11/12/2023 6:47 PM,No,No,No,No,No,No,Yes,No,No,No,No,36-45,"$100,001 - $200,000",Great,
450811312,11/12/2023 6:59 PM,Yes,No,No,No,No,No,No,No,No,No,No,25 and under,"$200,001 or above",,
450819885,11/12/2023 7:37 PM,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,66+,"$100,001 - $200,000","One of the best programs for kids we have seen at the threater.  Kept the audience of all ages, including some younger littles, engaged and enjoying the show.  Moved well. We all enjoyed the show. ",
450833125,11/12/2023 8:43 PM,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,000 or below","Good, overall impression, and the kids enjoyed it!","Can't think of anything at this time, but would be happy to contact you, if I think of anything..."
450835981,11/12/2023 9:01 PM,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000","Good quality, lighting, sound and value. Educational and fun. About 15 minutes too long for my second grade grandson, ",It was a good experience and I hope there are many more family theater opportunities for kids. 
450839331,11/12/2023 9:18 PM,No,No,No,No,No,No,Yes,No,No,No,No,46-55,"$50,001 - $100,000",,
450953109,11/13/2023 8:37 AM,No,No,No,No,No,No,No,Yes,No,No,No,66+,,"It was a fun event, very entertaining. I attended with my 3 grandchildren, ages 6, 9 and 13. They all three had a great time and said they would love to go to another event like this one. ",
450973417,11/13/2023 9:36 AM,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$100,001 - $200,000","Fun, entertainment, and geared for both kids and adult humor. My 2 grandchildren age 7&10 enjoyed the show also. ",
451057900,11/13/2023 12:41 PM,No,No,No,No,No,No,No,No,No,Yes,No,56-65,,"Took my grands. Was fun. 
And finally something affordable. 
Most show are to expensive.","More kids stuff at a good value.
We are a very lower income for younger people. "
