ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
499645397,03/15/2024 9:06 PM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",It was wonderful! Vibrant! Fun!,
499654584,03/15/2024 9:36 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,46-55,"$50,001 - $100,000",Excellent,
499656079,03/15/2024 9:42 PM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",Excellent show! Loved it!,
499660159,03/15/2024 10:01 PM,No,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,"$100,001 - $200,000","The concert was excellent. Great sound, comfortable seating, reasonable price. We love attending concerts at the GESA Power House Theatre. ",
499661389,03/15/2024 10:03 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,36-45,"$50,001 - $100,000",So wonderful! Please bring them back again - we were able to go to this concert and the one 5 years ago - would see them every year if they would come!,
499662167,03/15/2024 10:13 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",A very entertaining show.  I am not a fan of Celtic music but my spouse is.  I  found the group engaging and talented.  They had the whole theatre participating in their program.  The sound/light tech was professional and on the mark for the performance.,
499663335,03/15/2024 10:11 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,36-45,,Fabulous ,
499663942,03/15/2024 10:14 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,36-45,,Incredible ,
499670335,03/15/2024 10:43 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,26-35,"$50,001 - $100,000",The band was amazing! Great energy and chemistry from the members with the audience. Very disappointed we did get to see Ryan’s shamrock. ,
499682351,03/15/2024 11:43 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,56-65,"$100,001 - $200,000",Great!,
499757341,03/16/2024 6:24 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,,Excellent production,Have them back
499775291,03/16/2024 7:17 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Great,
499784898,03/16/2024 7:50 AM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,,Couldn't come.,When we booked there were few seats left. Making some kind of effort to sell our seats to someone else and providing a refund would have been appreciated after we notified you we could not come.
499786951,03/16/2024 7:54 AM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,,Too loud.  I left at intermission.,See above.
499792133,03/16/2024 8:10 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$200,001 or above",Very good quality all around.,Loved this show!  Really like the very talented non-mainstream music you book.
499799347,03/16/2024 8:34 AM,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,66+,,"This group is fantastic! HOWEVER… we left at the intermission as it was overwhelmingly LOUD! Gesa is a small theater , and performers should adjust the volume of their performance . At times it was almost painful. It was also difficult to understand some of the dialogue d/t accents. Understand that is my problem but I did miss much of the discussions and funny stories! We came home and watched the group on  uTube where we could turn the volume down!",
499822734,03/16/2024 9:35 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",It was a fun evening. I think that everything was working correctly and that the audience had a great time.,
499827910,03/16/2024 9:50 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,,Heard music loud and clear but missed most of the interaction with audience because they spoke very softly. Missed most of their jokes,
