ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Television,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
367456269,03/24/2023 9:24 PM,No,No,No,No,No,No,No,No,No,No,No,66+,,Lighting was subpar. Enjoyed the performance.,
367457380,03/24/2023 9:28 PM,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Forgot to attend—couldn’t find the tickets.,
367468313,03/24/2023 10:27 PM,No,No,No,No,No,No,No,Yes,Yes,Yes,No,66+,"$100,001 - $200,000",Excellent,
367469973,03/24/2023 10:37 PM,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Terrific,
367586760,03/25/2023 8:26 AM,No,No,No,No,No,No,No,No,Yes,No,No,66+,"$50,001 - $100,000",We enjoyed the very talented musicians very much! Went to both performances. P&Wolf they were SO amazing not only playing together but also acting!! Thank you for bringing them to (America) Walla Walla.,
367639822,03/25/2023 10:32 AM,No,No,No,No,No,No,No,No,No,Yes,No,66+,,All good!  The only suggestion I can make is the stage area can use some sprucing up.,See above comment
367651975,03/25/2023 10:59 AM,No,No,No,No,No,No,No,No,Yes,No,No,66+,"$100,001 - $200,000",Very good. I love the acoustics of the PHT,"I have no suggstions except ""keep up the good work"""
367673704,03/25/2023 11:49 AM,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Great,
367739190,03/25/2023 2:27 PM,No,No,Yes,No,No,No,No,No,No,Yes,Yes,56-65,"$100,001 - $200,000","The Power House is the perfect venue for a concert like this. All seats are wonderful! Sound: wonderful! Lights: wonderful!
We love coming a bit early to get parking and a glass of wine before the show. It makes the evening extra special. The ushers, greeters and wine servers were all so friendly and helpful!","I would encourage you to maintain the high level of professional, family-friendly, and noncontroversial entertainment selections. Several of your recent/current performers are very offensive."
367912529,03/25/2023 10:45 PM,Yes,No,No,No,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",everything was excellent,
369472606,03/29/2023 9:43 AM,Yes,No,No,No,No,No,No,Yes,No,Yes,No,66+,,Awesome!,
