ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Idaho Statesman,The East Oregonian,The Entertainer,Tumbleweird,ParentMap,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
520175257,04/20/2024 10:03 PM,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,000 or below",Excellent!!!,
520182721,04/20/2024 10:28 PM,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$50,001 - $100,000",Absolutely fabulous ,
520184029,04/20/2024 10:34 PM,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$100,001 - $200,000",Very enjoyable concert.Great band. Well organized and run.,
520188829,04/20/2024 10:52 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,"$200,001 or above","Excellent venue, beautiful building. Enjoyed it. The sound was better in the balcony, but good from the floor as well. ","Volunteers was very friendly and helpful, would definitely return,"
520192863,04/20/2024 11:08 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,26-35,"$50,001 - $100,000",Lovely on all accounts. Wine prices could be lowered just slightly. Thank you for a superb evening!! Ticket prices are super reasonable. ,
520287114,04/21/2024 6:09 AM,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Excellent in all aspects!,
520360292,04/21/2024 9:00 AM,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Its a fabulous show and it was great to see the band again. Miss Derina's vocals could have had a more clear sound.,Looking forward to seeing the band in person again!
520513336,04/21/2024 2:09 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,36-45,"$100,001 - $200,000",I didn't get to go I got I'll and a friend passed away. I'm just trying to figure out how to use my protection I purchased. ,
520532001,04/21/2024 2:47 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,46-55,"$100,001 - $200,000",Very Good.,
520684953,04/21/2024 8:35 PM,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,36-45,"$100,001 - $200,000",LOVE this show.  Such a great group.  Sound was awesome and lighting was appropriate.,
521250721,04/22/2024 6:21 PM,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,56-65,"$100,001 - $200,000","Great sound, felt close to the performers, comfortable environment, great staff! Staff were amazingly friendly and welcoming! Also, being from out of the area, we appreciated the parking map on the email.",Nothing! It was great!
521327893,04/22/2024 9:13 PM,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,56-65,"$50,001 - $100,000","The first set it was difficult to hear the vocals over the instruments. It was better after the intermission.
We enjoyed the show and would go see them again.",
521528334,04/23/2024 9:08 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,36-45,"$100,001 - $200,000",Outstanding! I loved this concert and look forward to visiting another performance at the Powerhouse.,
526255741,05/01/2024 2:20 PM,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,36-45,"$100,001 - $200,000","Sometimes the lead singer’s mic was too quiet and the guitar mic’s over powered hers. Other than that, it was spectacular!",Loved the show and glad there was an intermission to use the rest room.
