ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Television,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
380313523,04/22/2023 9:42 PM,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$100,001 - $200,000",Great show,
380314422,04/22/2023 9:47 PM,No,No,No,No,No,No,No,No,No,Yes,No,66+,,Absolutely fantastic!,Great as is thanks
380314443,04/22/2023 9:47 PM,No,No,No,No,No,No,No,Yes,No,No,No,46-55,"$100,001 - $200,000",Excellent performance!,
380326920,04/22/2023 11:20 PM,No,No,No,No,No,No,No,No,No,No,Yes,56-65,"$100,001 - $200,000",Excellent,
380374378,04/23/2023 5:59 AM,No,No,No,No,No,No,No,No,No,Yes,No,66+,,Very professional.  We loved the show!,
380418341,04/23/2023 7:59 AM,No,No,No,No,Yes,No,No,No,No,No,No,56-65,"$50,001 - $100,000",Very good!👏👏,
380419539,04/23/2023 8:04 AM,No,No,No,No,No,No,No,No,No,No,Yes,56-65,"$50,001 - $100,000","I bought tickets to this show in 2020, but it kept getting canceled because of Covid. I didn't realize that this was the show I had bought tickets for! None of the communications I got said that I already had tickets or that it was the show I had previously paid for, so I didn't pay any attention to it. Now I'm a little sad because it sounded like it would be fun! $#&covid@$*",
380442951,04/23/2023 9:00 AM,No,No,No,No,No,No,No,No,No,Yes,No,26-35,"$50,001 - $100,000",Mike Delamont was amazing as always.  I love this series and am sad to see it end in Walla Walla.  I'd love it if we could get the Christmas show here rather than having to go to Yakima for it.,
380464807,04/23/2023 9:54 AM,Yes,No,No,No,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",Excellent. I've been to all of Mike's shows. Keep booking him for new shows!,
381065774,04/24/2023 2:49 PM,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Excellent,
