ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
415263325,07/28/2023 9:39 PM,No,No,No,No,No,Yes,No,No,No,No,26-35,"$50,001 - $100,000",Our first time ever going and it was great! The volunteers were friendly and the ushers were too. It was comfortable and made for the perfect night out.,Keep up the great work!
415263809,07/28/2023 9:37 PM,Yes,No,No,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",All aspects of the theater were excellent,
415263930,07/28/2023 9:37 PM,No,No,No,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000",Excellent,
415265162,07/28/2023 9:47 PM,No,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Fantastic. Second time I saw her show at Power House Theatre.,
415267445,07/28/2023 10:03 PM,No,No,No,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000",Excellent,
415269202,07/28/2023 10:17 PM,Yes,No,No,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",Fantastic show. Better than we were expecting.  Haven’t laughed so much since the I Am The Devil show.,
415271563,07/28/2023 10:36 PM,Yes,No,No,Yes,No,No,No,Yes,Yes,No,66+,,"Sound system is poor -- the volume is adequate, but the clarity is lacking. I missed quite a bit of Paula's lines. I expect more from this quality theater.
Thank you",
415273017,07/28/2023 10:51 PM,No,No,No,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000",Good quality lighting and sound in showroom.  We both enjoyed the show and felt it was worth the cost and travel.,"As you enter the building there is a strong musty/mildew smell. I automatically took my medication, but the showroom was much better. I was able to stay and enjoy the show.  I realize the building is old and there isn’t much that you can do, but you might get it checked."
415273057,07/28/2023 10:47 PM,No,No,No,No,No,No,No,Yes,Yes,No,25 and under,"$50,001 - $100,000",Terrific!,
415278510,07/28/2023 11:47 PM,No,No,No,No,No,No,No,No,Yes,No,56-65,"$200,001 or above","High quality (albeit ultra liberal) entertainer, good value for money.",
415279601,07/29/2023 12:01 AM,No,No,No,No,No,No,No,No,Yes,No,36-45,"$50,001 - $100,000","It was a great, intimate theater experience.","I wish the info in the email sent prior to the event was more accurate (i.e., the email said the show would run 90 min with an intermission, but the show was over 2 hours with no intermission)."
415315864,07/29/2023 6:02 AM,No,No,No,No,No,No,No,No,Yes,No,66+,,A wonderful evening!,
415319884,07/29/2023 6:20 AM,No,No,No,Yes,No,No,No,No,No,No,56-65,"$100,001 - $200,000",Excellent,
415321400,07/29/2023 6:28 AM,No,No,No,Yes,No,No,No,No,No,No,66+,"$50,001 - $100,000",Great 😃🎶🍸,
415328059,07/29/2023 6:56 AM,No,No,No,No,No,Yes,No,No,Yes,No,66+,"$50,001 - $100,000",It was great!,
415333409,07/29/2023 7:20 AM,Yes,No,No,Yes,Yes,No,No,No,Yes,No,56-65,"$100,001 - $200,000","Good, but seating is very tight. There were some minor audio issues.",More seating outside before the show.
415356401,07/29/2023 8:59 AM,No,No,No,Yes,No,No,No,No,No,No,56-65,"$200,001 or above","Charming theater, friendly staff. Not a bad seat in the house.  The sound quality was stellar (I often struggle to hear), as was the general ambiance, lighting, etc. Easy access to nice, clean restrooms. The availability of drinks/bar was a nice touch. Advance “what to know”info was high quality and timely. Great experience. Very much enjoyed the more intimate setting. We will be back.",
415361067,07/29/2023 9:12 AM,Yes,No,No,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000","Terrific!  Love her shows!  Good sound, good lighting, good value!",
415366651,07/29/2023 9:30 AM,No,No,No,No,No,Yes,No,No,No,No,46-55,"$100,001 - $200,000",Very fun- neat venue!,
415370809,07/29/2023 9:50 AM,No,No,No,No,No,No,No,No,Yes,No,56-65,,"We absolutely loved Paula Poundstone!!  She is a fabulous entertainer!!  Her show was sold out last time she was in Walla Walla so we were thrilled to catch her this time.  We would definitely go see her again given the chance.  The quality, lighting, sound, and value were all great.","In the future, an intermission or at least a 5 minute chance to stand and stretch our legs would be much appreciated.  My legs were uncomfortably numb after an hour and a half into the show."
415393474,07/29/2023 11:06 AM,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below","The lighting was fine. We were up in the southside balcony and had a tremendous difficulty hearing her whole dialogue. I do not think the balcony has any speakers aimed at the seats, so I was straining to hear her - particularly the punch lines. Perhaps this is something that should be addressed. Two hours of solid standup! Other than the fact we only could hear a part of the dialogue, she was wonderful.",
415401091,07/29/2023 11:33 AM,No,No,No,Yes,No,No,No,No,No,No,66+,"$100,001 - $200,000","Paula was excellent, as is the seating. However the sound was somewhat distorted at times (I do have hearing aids so could hear well but some words were muddled)",
415410624,07/29/2023 12:06 PM,Yes,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",,
415420412,07/29/2023 12:46 PM,No,No,No,Yes,No,No,No,No,No,No,56-65,"$100,001 - $200,000",All good.,Speaker interacted with audience. However I could not discern what the college student said as her voice was very soft. It would have been better if Paula repeated what she said over the microphone.
415433063,07/29/2023 1:22 PM,No,No,No,No,No,No,No,No,No,Yes,36-45,"$50,001 - $100,000","Really enjoyed this event! The space was comfortable, well lit, with great sound. It felt intimate and upscale.",
415478183,07/29/2023 4:00 PM,Yes,No,No,Yes,Yes,No,Yes,No,No,No,66+,"$50,001 - $100,000","SWITCHING MIKES WAS GOOD.  LIGHTING FOR ""AD"" WAS OK ONCE THE TECHNICIANS FIGURED OUT WHAT PAULA WANTED.  EXCELLENT PERFORMANCE.  GOING AGAIN ON SATURDAY!",
415526156,07/29/2023 7:08 PM,Yes,No,No,No,No,No,No,No,No,No,56-65,"$100,001 - $200,000",Excellent and lots of fun,All good.
415555109,07/29/2023 9:34 PM,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Splendid.,
415555272,07/29/2023 9:35 PM,No,No,No,No,No,No,No,No,No,Yes,66+,"$100,001 - $200,000",Excellent apart from audio when PP was quieter,
415555404,07/29/2023 9:35 PM,No,No,No,No,No,No,Yes,No,Yes,No,26-35,"$100,001 - $200,000",Fantastic in every way,
415555564,07/29/2023 9:36 PM,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,56-65,"$100,001 - $200,000",Good!,
415556022,07/29/2023 9:40 PM,No,Yes,No,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",I thoroughly enjoyed Paula's presentation.  She was brilliant.  The lighting and sound were good.  The seat got somewhat uncomfortable by the end of her performance though.,
415558072,07/29/2023 9:55 PM,Yes,No,No,No,No,No,No,No,No,No,56-65,"$50,001 - $100,000",Excellent experience from easy parking to venue facility and the wonderful Artist.,"Keep up the great work, it shows."
415558561,07/29/2023 9:58 PM,No,No,No,No,No,No,Yes,No,No,No,56-65,"$100,001 - $200,000",All good.,Paula Poundstone is awesome. Thoroughly enjoyed her last time she was here and happy to see her again.
415559662,07/29/2023 10:05 PM,No,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Excellent!,Congrats on attracting such a big name to Slka Walla!
415559721,07/29/2023 10:04 PM,No,No,No,No,No,No,No,No,Yes,No,56-65,"$50,001 - $100,000",Great!,
