ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!",Event,Instance
632706061,10/19/2024 8:11 AM,No,No,No,No,No,No,No,Yes,Yes,No,No,No,66+,"$50,001 - $100,000","The performance was great. Ticketing was easy.  The only problem was the late entrance and staring time especially since I had to be home for a call by 9:00 so had to leave early.
People around me thought it was way too loud but I thought it was perfect .",,,
632708119,10/19/2024 8:11 AM,No,No,No,No,No,Yes,No,No,No,No,No,No,56-65,"$50,000 or below","Good. There was some difficulty with sound, getting the accordion dialed in, etc., but it didn't take away from the performance in the least. I thought the band was fabulous, and have shared their upcoming tour information on Facebook. Best wishes to them, and to you for hosting them!",,,
632710746,10/19/2024 8:16 AM,No,No,No,No,No,No,No,No,No,No,No,Yes,56-65,"$100,001 - $200,000",It was fantastic! ,,,
632719004,10/19/2024 8:37 AM,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,66+,"$200,001 or above","Seemed to be a problem with some of the sound but overall it was a fabulous show, the guy were amazing musicians, the energy was great. It made me feel a friendship toward the Ukrainian people. ",,,
632719122,10/19/2024 8:39 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,,"Excellent musicians and fabulous showmen!  However, the sound was a tad too loud.
",Please continue to book these small eclectic musical shows.  ,,
632725651,10/19/2024 9:02 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,36-45,"$100,001 - $200,000",loved the entire thing!,,,
632735051,10/19/2024 9:15 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,56-65,"$100,001 - $200,000",It was fantastic!!! Such high energy.,,,
632735931,10/19/2024 9:21 AM,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,"$50,000 or below","It seemed appropriate to the energy level of the performers....high! No complaints there. Lighting also seemed right. Overall - loved it!
Yes, it would likely have been too loud for some, though, and the ear plugs helped my companion so it was fine for her as well.",,,
632749874,10/19/2024 9:51 AM,Yes,No,No,No,No,No,No,No,No,No,No,No,36-45,"$200,001 or above",I loved the event. Please continue to bring events like this to Walla Walla. My wife and I need to attend more events where we can.,,,
632755577,10/19/2024 10:04 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,,It was not my favorite show. Too loud all the same kind of music. Late starting… Probably no fault of Gesa,No need,,
