ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
468400313,12/31/2023 9:27 PM,No,No,No,No,No,No,No,No,No,Yes,No,36-45,,Great!,
468404456,12/31/2023 10:00 PM,No,No,No,No,No,No,No,No,No,Yes,No,25 and under,"$50,000 or below",,
468417530,12/31/2023 11:24 PM,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$50,000 or below",Excellent,
468418627,12/31/2023 11:37 PM,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$50,001 - $100,000",Excellent!,Love these shows  at the gesa theater! 
468419460,12/31/2023 11:51 PM,No,No,No,No,No,No,No,No,No,Yes,No,46-55,"$200,001 or above",Phenomenal! We laughed so hard. We also had our three early 20’s children and they were cracking up just as hard! I’m going to find him other places and tell friends. So great!,
468421969,01/01/2024 12:21 AM,Yes,No,No,No,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",4 out of 5.   Wish the closing had been a bit more organized to truly celebrate the turn of the year ,
468432356,01/01/2024 2:54 AM,No,No,No,No,No,No,No,No,Yes,No,No,36-45,"$50,001 - $100,000","It was a good fun event,  sound was great,  lighting was great.  I loved that you added champagne and the East Coast New Years Celebration. ","It was a great show,  great job. 
My only feedback is that the railing right in front of the BB seating was very low and I assume it is for viewing purposes but it was scary walking by that especially for someone scared of heights and also not great with balance. Otherwise it was a great evening.  Thank you! "
468445657,01/01/2024 5:17 AM,No,No,No,No,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000",Very fun,
468468539,01/01/2024 7:26 AM,No,No,No,No,No,No,Yes,No,No,No,No,56-65,"$100,001 - $200,000",Very nice ,
468471479,01/01/2024 7:41 AM,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Excellent ,Great show
