Accounting Date,Total Received,Item Payment Type,Stock Item Name,Event Name,Amount,masked_column
1/1/2023,0.0,Card Payment,,Scout Durwood Live,,37
1/1/2023,0.0,Card Payment,,Seattle Jewish Film Festival,,15
1/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
1/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,24
1/3/2023,0.0,Card Payment,,Sam Now (film),,15
1/3/2023,0.0,Card Payment,,Sam Now (film),,15
1/3/2023,0.0,Card Payment,,Sam Now (film),,18
1/3/2023,0.0,Card Payment,,Paula Poundstone,,60
1/3/2023,0.0,Card Payment,,Paula Poundstone,,53
1/4/2023,0.0,Card Payment,,Scout Durwood Live,,37
1/4/2023,0.0,Card Payment,,Scout Durwood Live,,34
1/4/2023,0.0,Card Payment,,Scout Durwood Live,,34
1/4/2023,0.0,Card Payment,,Scout Durwood Live,,36
1/5/2023,0.0,No Payment,,Paula Poundstone,,45
1/5/2023,0.0,No Payment,,Paula Poundstone,,46
1/5/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,12
1/5/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,11
1/5/2023,0.0,No Payment,,Paula Poundstone,,0
1/5/2023,0.0,No Payment,,Paula Poundstone,,0
1/6/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,31
1/6/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,41
1/6/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,35
1/6/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,36
1/6/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,18
1/6/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
1/6/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/6/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,18
1/6/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/6/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
1/7/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
1/8/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
1/8/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,24
1/8/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
1/8/2023,0.0,Card Payment,,God is a Scottish Drag Queen 2,,32
1/8/2023,0.0,Card Payment,,God is a Scottish Drag Queen 2,,38
1/8/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,18
1/8/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/8/2023,0.0,Card Payment,,Sam Now (film),,13
1/8/2023,0.0,Card Payment,,Sam Now (film),,14
1/8/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/8/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
1/8/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,13
1/8/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,12
1/8/2023,0.0,Card Payment,,Seattle Jewish Film Festival,,15
1/8/2023,0.0,Card Payment,,Seattle Jewish Film Festival,,13
1/8/2023,0.0,Card Payment,,The Paperboys,,28
1/8/2023,0.0,Card Payment,,The Paperboys,,29
1/8/2023,0.0,Card Payment,,Matt Johnson - Urban Deception,,56
1/8/2023,0.0,Card Payment,,Matt Johnson - Urban Deception,,52
1/8/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,10
1/8/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,13
1/8/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,8
1/8/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,8
1/8/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/8/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/8/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/8/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,8
1/10/2023,0.0,Card Payment,,Scout Durwood Live,,34
1/10/2023,0.0,Card Payment,,Scout Durwood Live,,37
1/10/2023,0.0,Card Payment,,Scout Durwood Live,,39
1/10/2023,0.0,Card Payment,,Scout Durwood Live,,34
1/10/2023,0.0,Card Payment,,Scout Durwood Live,,35
1/10/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,11
1/10/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,11
1/10/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/10/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,10
1/11/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,12
1/11/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,21
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,19
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,21
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,24
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,30
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,35
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,15
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,33
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,31
1/11/2023,0.0,Card Payment,,The Nordic Fiddler's Bloc,,20
1/11/2023,0.0,Card Payment,,The Wildcards,,46
1/11/2023,0.0,Card Payment,,The Wildcards,,37
1/12/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
1/12/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/12/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,23
1/12/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
1/13/2023,0.0,Card Payment,,Tango del Cielo,,42
1/13/2023,0.0,Card Payment,,Tango del Cielo,,43
1/13/2023,0.0,Card Payment,,Tango del Cielo,,50
1/13/2023,0.0,Card Payment,,Tango del Cielo,,47
1/14/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,12
1/14/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/14/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,13
1/15/2023,0.0,Card Payment,,Scout Durwood Live,,39
1/15/2023,0.0,Card Payment,,Scout Durwood Live,,33
1/16/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,12
1/16/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,12
1/17/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,11
1/17/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,13
1/17/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/17/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/17/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,8
1/17/2023,0.0,Card Payment,,Sam Now (film),,13
1/17/2023,0.0,Card Payment,,Sam Now (film),,15
1/17/2023,0.0,Card Payment,,YOUTOPIA (film),,15
1/19/2023,0.0,Card Payment,,Scout Durwood Live,,33
1/19/2023,0.0,Card Payment,,Scout Durwood Live,,35
1/19/2023,0.0,Card Payment,,Paula Poundstone,,58
1/19/2023,0.0,Card Payment,,Paula Poundstone,,66
1/19/2023,0.0,Card Payment,,Seattle Jewish Film Festival,,16
1/19/2023,0.0,Card Payment,,Seattle Jewish Film Festival,,16
1/20/2023,0.0,Card Payment,,Paula Poundstone,,55
1/20/2023,0.0,Card Payment,,Paula Poundstone,,45
1/20/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,12
1/20/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,13
1/21/2023,0.0,Card Payment,,YOUTOPIA (film),,19
1/21/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,12
1/21/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,13
1/21/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,35
1/21/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,31
1/21/2023,0.0,Card Payment,,Sam Now (film),,17
1/21/2023,0.0,Card Payment,,Sam Now (film),,17
1/22/2023,0.0,Card Payment,,The Paperboys,,33
1/22/2023,0.0,Card Payment,,The Paperboys,,28
1/22/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,10
1/22/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,7
1/22/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,13
1/22/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,15
1/22/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,11
1/22/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,8
1/22/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,9
1/22/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,12
1/23/2023,0.0,No Payment,,Scout Durwood Live,,0
1/23/2023,0.0,No Payment,,Scout Durwood Live,,0
1/23/2023,0.0,Card Payment,,Scout Durwood Live,,32
1/23/2023,0.0,Card Payment,,Scout Durwood Live,,37
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,Card Payment,,Scout Durwood Live,,36
1/24/2023,0.0,Card Payment,,Scout Durwood Live,,40
1/24/2023,0.0,Card Payment,,Scout Durwood Live,,30
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,Card Payment,,Scout Durwood Live,,37
1/24/2023,0.0,Card Payment,,Scout Durwood Live,,36
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,No Payment,,Scout Durwood Live,,0
1/24/2023,0.0,Custom Payment,,Scout Durwood Live,,37
1/24/2023,0.0,Custom Payment,,Scout Durwood Live,,31
1/24/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
1/24/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
1/24/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
1/24/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,23
1/24/2023,0.0,Card Payment,,Scout Durwood Live,,33
1/24/2023,0.0,Card Payment,,Scout Durwood Live,,39
1/24/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,13
1/24/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,13
1/24/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,15
1/24/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,12
1/24/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,12
1/24/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,11
1/24/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,12
1/24/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,12
1/25/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/25/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/25/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
1/25/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/25/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,23
1/25/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
1/25/2023,0.0,Card Payment,,Sam Now (film),,20
1/25/2023,0.0,Card Payment,,Sam Now (film),,16
1/25/2023,0.0,No Payment,,Scout Durwood Live,,0
1/25/2023,0.0,No Payment,,Scout Durwood Live,,0
1/25/2023,0.0,No Payment,,Scout Durwood Live,,0
1/25/2023,0.0,No Payment,,Scout Durwood Live,,0
1/25/2023,0.0,Card Payment,,Scout Durwood Live,,38
1/25/2023,0.0,Card Payment,,Scout Durwood Live,,37
1/25/2023,0.0,Card Payment,,The Paperboys,,30
1/25/2023,0.0,Card Payment,,The Paperboys,,28
1/26/2023,0.0,Card Payment,,The Wildcards,,39
1/26/2023,0.0,Card Payment,,The Wildcards,,43
1/26/2023,0.0,No Payment,,Scout Durwood Live,,0
1/26/2023,0.0,No Payment,,Scout Durwood Live,,0
1/26/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,31
1/26/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,36
1/26/2023,0.0,Card Payment,,Paula Poundstone,,58
1/26/2023,0.0,Card Payment,,Paula Poundstone,,51
1/27/2023,0.0,No Payment,,The Talbott Brothers,,0
1/27/2023,0.0,No Payment,,The Talbott Brothers,,0
1/27/2023,0.0,No Payment,,The Talbott Brothers,,0
1/27/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/27/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
1/27/2023,0.0,Card Payment,,Scout Durwood Live,,39
1/27/2023,0.0,Card Payment,,Scout Durwood Live,,39
1/27/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,11
1/27/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,11
1/28/2023,0.0,Card Payment,,God is a Scottish Drag Queen 2,,37
1/28/2023,0.0,Card Payment,,God is a Scottish Drag Queen 2,,37
1/28/2023,0.0,Card Payment,,Scout Durwood Live,,37
1/28/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,17
1/28/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/28/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
1/28/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,14
1/28/2023,0.0,Card Payment,,Matt Johnson - Urban Deception,,54
1/28/2023,0.0,Card Payment,,Matt Johnson - Urban Deception,,49
1/28/2023,0.0,Card Payment,,Scout Durwood Live,,36
1/28/2023,0.0,Card Payment,,Scout Durwood Live,,31
1/28/2023,0.0,Card Payment,,Paula Poundstone,,54
1/28/2023,0.0,Card Payment,,Paula Poundstone,,53
1/29/2023,0.0,Card Payment,,Paula Poundstone,,56
1/29/2023,0.0,Card Payment,,Paula Poundstone,,68
1/29/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,17
1/29/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
1/29/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,17
1/29/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
1/29/2023,0.0,Card Payment,,Scout Durwood Live,,39
1/29/2023,0.0,Card Payment,,Scout Durwood Live,,36
1/29/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,8
1/29/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,8
1/29/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,13
1/30/2023,0.0,Card Payment,,Scout Durwood Live,,31
1/30/2023,0.0,Card Payment,,Scout Durwood Live,,34
1/30/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/30/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
1/30/2023,0.0,Card Payment,,Scout Durwood Live,,43
1/30/2023,0.0,Card Payment,,Scout Durwood Live,,38
1/30/2023,0.0,Card Payment,,Scout Durwood Live,,28
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,36
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,33
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,38
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,33
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,35
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,37
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,39
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,18
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,29
1/31/2023,0.0,No Payment,,Scout Durwood Live,,0
1/31/2023,0.0,No Payment,,Scout Durwood Live,,0
1/31/2023,0.0,No Payment,,Scout Durwood Live,,0
1/31/2023,0.0,No Payment,,Scout Durwood Live,,0
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,31
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,39
1/31/2023,0.0,No Payment,,A Night at the Theatre - Walla Walla Choral Society,,25
1/31/2023,0.0,No Payment,,A Night at the Theatre - Walla Walla Choral Society,,23
1/31/2023,0.0,No Payment,,A Night at the Theatre - Walla Walla Choral Society,,17
1/31/2023,0.0,No Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,40
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,33
1/31/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
1/31/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
1/31/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
1/31/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,24
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,32
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,35
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,31
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,41
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,30
1/31/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,12
