Accounting Date,Item Payment Type,masked_column
2/7/2023,Account Credit,-69
2/24/2023,Account Credit,-59
3/21/2023,Account Credit,-95
4/27/2023,Account Credit,-69
6/1/2023,Mixed Payment,-175
7/18/2023,Account Credit,-107
7/21/2023,Account Credit,-173
9/8/2023,Account Credit,-43
9/8/2023,Account Credit,-23
9/9/2023,Account Credit,-26
9/9/2023,Account Credit,-28
10/12/2023,Account Credit,-85
10/24/2023,Account Credit,-30
11/2/2023,Account Credit,-56
11/2/2023,Account Credit,-86
11/2/2023,Account Credit,-80
11/3/2023,Account Credit,-62
11/28/2023,Mixed Payment,-10
11/28/2023,Mixed Payment,-9
11/28/2023,Mixed Payment,-8
12/14/2023,Account Credit,-114
12/26/2023,Account Credit,-53
1/11/2024,Mixed Payment,-34
1/11/2024,Mixed Payment,-29
1/11/2024,Account Credit,-7
1/11/2024,Account Credit,-2
1/11/2024,Account Credit,-7
1/11/2024,Account Credit,-8
1/11/2024,Account Credit,-7
1/23/2024,Account Credit,-106
1/23/2024,Account Credit,-75
1/24/2024,Mixed Payment,-88
1/25/2024,Account Credit,-109
1/25/2024,Account Credit,-98
1/30/2024,Account Credit,-86
2/2/2024,Mixed Payment,-4
2/2/2024,Mixed Payment,-5
2/2/2024,Mixed Payment,-4
2/6/2024,Mixed Payment,-4
2/9/2024,Account Credit,-91
2/13/2024,Account Credit,-118
2/13/2024,Mixed Payment,-5
2/16/2024,Account Credit,-44
2/16/2024,Account Credit,-101
2/20/2024,Mixed Payment,-4
2/20/2024,Mixed Payment,-4
2/22/2024,Mixed Payment,-4
3/3/2024,Mixed Payment,-5
3/3/2024,Account Credit,-20
3/3/2024,Account Credit,-16
3/5/2024,Mixed Payment,-5
3/7/2024,Mixed Payment,-4
3/12/2024,Mixed Payment,-4
3/14/2024,Mixed Payment,-5
3/17/2024,Mixed Payment,-5
3/17/2024,Mixed Payment,-5
3/28/2024,Mixed Payment,-4
3/29/2024,Mixed Payment,-4
4/2/2024,Mixed Payment,-5
4/11/2024,Mixed Payment,-5
4/16/2024,Mixed Payment,-4
4/16/2024,Mixed Payment,-4
4/19/2024,Account Credit,-62
4/23/2024,Mixed Payment,-4
4/26/2024,Account Credit,-43
6/14/2024,Account Credit,-79
6/14/2024,Account Credit,-38
6/14/2024,Account Credit,-79
6/18/2024,Account Credit,-72
9/17/2024,Account Credit,-28
9/25/2024,Account Credit,-46
10/22/2024,Account Credit,-80
10/24/2024,Account Credit,-29
10/24/2024,Account Credit,-17
12/3/2024,Mixed Payment,-7
12/3/2024,Mixed Payment,-10
12/3/2024,Mixed Payment,-10
2/4/2025,Account Credit,-106
2/4/2025,Account Credit,-111
2/4/2025,Account Credit,-24
