Accounting Date,masked_column
1/3/2023,11
1/11/2023,25
1/11/2023,533
1/11/2023,3457
1/15/2023,10
1/17/2023,489
1/20/2023,6253
1/20/2023,54
1/21/2023,954
1/22/2023,27
1/24/2023,5
1/24/2023,954
1/24/2023,26
1/27/2023,9
1/31/2023,9
2/1/2023,10
2/2/2023,9
2/2/2023,6
2/2/2023,8
2/2/2023,26
2/3/2023,6
2/3/2023,10
2/3/2023,6
2/3/2023,9
2/3/2023,1892
2/3/2023,3014
2/5/2023,23
2/6/2023,5188
2/8/2023,5
2/9/2023,34
2/10/2023,10
2/11/2023,12
2/13/2023,103
2/14/2023,376
2/15/2023,896
2/15/2023,3
2/17/2023,11
2/17/2023,5
2/19/2023,9
2/20/2023,37
2/20/2023,6
2/20/2023,6
2/20/2023,26
2/21/2023,5238
2/21/2023,128
2/21/2023,465
2/21/2023,144
2/21/2023,111
2/22/2023,6
2/23/2023,82370
2/23/2023,11
2/24/2023,481
2/24/2023,5
2/24/2023,6
2/24/2023,34
2/25/2023,6
2/25/2023,3
2/25/2023,3
2/26/2023,52
2/26/2023,11
2/27/2023,5
2/27/2023,10
2/27/2023,9
2/28/2023,881
2/28/2023,455
2/28/2023,6
3/1/2023,50
3/1/2023,6
3/1/2023,26
3/1/2023,5
3/1/2023,16
3/2/2023,12
3/3/2023,5
3/4/2023,6
3/5/2023,8
3/5/2023,11
3/6/2023,505
3/7/2023,971
3/7/2023,6
3/7/2023,5
3/8/2023,5
3/9/2023,6
3/9/2023,6
3/9/2023,5
3/10/2023,5
3/10/2023,5
3/10/2023,1092
3/10/2023,11
3/11/2023,10
3/11/2023,6
3/11/2023,6
3/12/2023,28
3/12/2023,10
3/12/2023,5
3/12/2023,5
3/12/2023,103
3/13/2023,6
3/13/2023,6
3/14/2023,6
3/14/2023,245
3/14/2023,22
3/14/2023,4
3/15/2023,5
3/15/2023,5
3/16/2023,4920
3/16/2023,6
3/17/2023,6
3/17/2023,5495
3/17/2023,6
3/17/2023,50
3/17/2023,9
3/17/2023,134
3/18/2023,6
3/18/2023,7
3/19/2023,51
3/19/2023,6
3/19/2023,10
3/19/2023,5
3/19/2023,6
3/19/2023,6
3/20/2023,108
3/20/2023,5
3/20/2023,479
3/20/2023,17197
3/21/2023,546
3/21/2023,122
3/22/2023,5
3/22/2023,48
3/22/2023,26
3/22/2023,38
3/22/2023,30
3/22/2023,51
3/22/2023,36
3/23/2023,105
3/23/2023,5
3/23/2023,6
3/24/2023,5
3/25/2023,5
3/25/2023,11
3/26/2023,5
