title,date,start,end
“Walla Walla”: A Short Film Premiere,2023-01-22,2:00 pm,4:00 pm
Power House Movie: Sam Now,2023-01-25,7:00 pm,10:00 pm
Youtopia (film),2023-02-03,7:00 pm,10:00 pm
Scout Durwood Live,2023-02-04,7:00 pm,10:00 pm
Power House Movie: An Evening of Ukrainian Shorts,2023-03-01,7:00 pm,9:00 pm
Gina Chavez,2023-03-10,7:00 pm,9:00 pm
Best of Movie Crush,2023-03-11,6:00 pm,9:00 pm
Little Watts: Leapin’ Louie,2023-03-12,2:00 pm,3:30 pm
“It’s A Lot”,2023-03-17,7:00 pm,9:00 pm
Walla Walla Choral Society – A Night at the Theatre,2023-03-19,3:00 pm,5:00 pm
Little Watts: Peter and the Wolf,2023-03-23,7:00 pm,8:00 pm
Tel Aviv Wind Quintet,2023-03-24,7:00 pm,10:00 pm
Mike Delamont: “God is a Scottish Drag Queen” Part 2,2023-03-25,7:00 pm,10:00 pm
Power House Movies: Seattle Jewish Film Festival – Selected Shorts,2023-03-29,7:00 pm,8:30 pm
The Wildcards,2023-04-01,7:00 pm,10:00 pm
Mike Delamont: “God is a Scottish Drag Queen” Part 3,2023-04-22,7:00 pm,10:00 pm
“Being Michelle”,2023-04-26,7:00 pm,9:00 pm
The Nordic Fiddlers Bloc,2023-04-29,7:00 pm,10:00 pm
The Talbott Brothers,2023-05-12,7:00 pm,9:00 pm
The Paperboys,2023-05-19,7:00 pm,10:00 pm
Tango del Cielo,2023-05-20,7:00 pm,10:00 pm
Verge Conference,2023-05-25,12:30 pm,8:00 pm
Walla Walla Choral Society – Die Nachtigall,2023-05-28,3:00 pm,5:00 pm
Caravan of GLAM,2023-06-02,7:00 pm,10:00 pm
Cultural Futures Meeting,2023-06-08,5:00 pm,7:00 pm
Little Watts: Allez-OOPS!,2023-06-11,2:00 pm,4:00 pm
Pride Movies Block,2023-06-28,7:00 pm,9:00 pm
The Red Badge Project: Veterans Tell Their Stories,2023-07-06,7:00 pm,9:00 pm
Kate & The Crocodiles,2023-07-22,7:00 pm,9:00 pm
Volunteer Orientation,2023-07-27,7:00 pm,8:30 pm
Paula Poundstone,2023-07-28,7:00 pm,10:00 pm
Downwind,2023-08-09,7:00 pm,9:00 pm
Spanish Language Shorts Block,2023-08-23,7:00 pm,9:00 pm
How I Learned What I Learned,2023-09-09,4:00 pm,8:00 pm
How I Learned How I Learned,2023-09-10,7:00 pm,9:30 pm
Inverted Space Ensemble,2023-09-16,7:00 pm,10:00 pm
Vincent,2023-09-29,,
Dancing with the W2 Stars,2023-10-07,7:00 pm,9:00 pm
Little Watts: Kenny Ahern,2023-10-08,7:00 pm,9:00 pm
Gustavo Alonso López: Guitarra Flamenca,2023-10-15,7:00 pm,8:00 pm
Exposure,2023-10-18,7:00 pm,9:00 pm
Pigs on the Wing: Two Nights of Pink Floyd,2023-10-20,7:00 pm,9:00 pm
Live Flamenco: Lo Preciso,2023-10-26,,
Collision of Rhythm,2023-10-27,,
The Deeper You Dig – Canceled,2023-11-01,,
Rockabilly Space Force – Canceled,2023-11-03,,
Fly Fishing Film Tour,2023-11-09,7:00 pm,9:00 pm
Warren Miller’s ALL TIME,2023-11-11,5:30 pm,10:00 pm
Little Watts: The Circus Science Spectacular,2023-11-12,2:00 pm,3:00 pm
Chase Joliet’s “Grapefruit”,2023-11-15,,
Mid-Winter Songs: Walla Walla Choral Society,2023-11-26,,
A Celtic Christmas,2023-12-03,5:00 pm,8:00 pm
The Nutcracker,2023-12-15,7:00 pm,9:00 pm
Holiday Shorts,2023-12-20,,
New Years Eve Comedy: Andrew Sleighter,2023-12-31,,
FILM GEEK,2024-01-17,7:00 pm,9:30 pm
Mike Birbiglia: Please Stop the Ride,2024-01-24,,
International Guitar Night XXIV,2024-01-31,,
Live2Lead Walla Walla,2024-02-16,1:00 pm,7:00 pm
Caesar Sings Nat ‘King’ Cole,2024-02-17,7:00 pm,9:00 pm
Holy Frit,2024-02-21,7:00 pm,9:00 pm
February Film Feast,2024-02-24,5:00 pm,9:00 pm
One Noble Journey,2024-03-01,,
Jeff’s Big Bubble Bonanza,2024-03-03,7:00 pm,9:00 pm
Seattle Jewish Film Festival Shorts Program,2024-03-13,7:00 pm,9:00 pm
Ímar,2024-03-15,3:00 pm,4:00 pm
The Rat Pack is Back!,2024-03-17,7:00 pm,9:00 pm
Vishniac,2024-03-27,,
Matt Johnson – Urban Deception,2024-03-30,,
Steve Hofstetter: Kill the Butterflies,2024-04-10,7:00 pm,9:00 pm
Alexander Kariotis: Master Class,2024-04-12,7:00 pm,9:00 pm
Alexander Kariotis,2024-04-13,7:00 pm,9:00 pm
Sometimes I Think About Dying,2024-04-17,7:00 pm,10:00 pm
Derina Harvey Band,2024-04-20,7:00 pm,9:00 pm
Kate & The Crocodiles,2024-04-26,,
Macbeth: Ralph Fiennes & Indira Varma,2024-05-02,,
Ladies of Laughter,2024-05-04,,
Las Cafeteras,2024-05-09,7:00 pm,9:00 pm
Storm Lake,2024-05-31,,
Power Up Fundraiser,2024-06-07,5:30 pm,7:00 pm
Caravan of GLAM,2024-06-07,7:00 pm,9:00 pm
Little Watts: Allez-OOPS!,2024-06-09,2:00 pm,4:30 pm
Inside the Yellow Cocoon Shell,2024-06-12,7:00 pm,9:00 pm
Late Bloomers,2024-06-26,,
Red Badge Project,2024-07-03,,
Walla Walla Movie Crush,2024-07-05,,
Stella Cole,2024-07-13,,
The Linguini Incident,2024-07-17,,
Enormous: The Gorge Story,2024-08-14,7:00 pm,9:00 pm
Edward Scissorhands (dance),2024-09-25,,
Shane Smith & The Saints,2024-09-27,,
Majority Rules,2024-10-02,,
Dancing with the W2 Stars,2024-10-05,,
Edward Scissorhands (dance),2024-09-29,2:00 pm,4:00 pm
Above the Trees,2024-10-16,7:00 pm,9:00 pm
Kommuna Lux,2024-10-18,10:00 am,4:00 pm
Fly Fishing Film Tour,2024-10-19,7:00 pm,9:00 pm
What is a Chief?,2024-10-23,7:00 pm,9:00 pm
A Band Called Honalee,2024-10-25,,
Live2Lead Walla Walla,2024-10-26,,
Pigs on the Wing: Echoes of Pink Floyd,2024-11-01,,
Rhys Thomas: Science Circus,2024-11-03,2:00 pm,3:00 pm
AMERICA’S SWEETHEARTS,2024-11-08,7:00 pm,9:00 pm
Warren Miller’s 75: A New Chapter,2024-11-09,7:00 pm,9:00 pm
Sunset Road,2024-11-13,,
Rock the Holidays,2024-12-04,7:00 pm,9:00 pm
A Celtic Christmas,2024-12-06,7:00 pm,9:00 pm
Little Watts: Holiday Shorts,2024-12-08,2:00 pm,3:00 pm
Sensory-Inclusive Holiday Shorts,2024-12-08,4:00 pm,5:00 pm
Chronicles of a Wandering Saint,2024-12-11,7:00 pm,9:00 pm
‘Tis the Season,2024-12-14,2:00 pm,4:00 pm
A Celtic Christmas,2024-12-15,7:00 pm,9:00 pm
The Nutcracker Ballet,2024-12-21,2:00 pm,4:00 pm
Kira Soltanovich,2024-12-31,,
Know Your Place,2025-01-15,7:00 pm,9:00 pm
Honoring Women Peacebuilders in Africa and Beyond,2025-01-22,7:00 pm,9:00 pm
Funke,2025-01-29,5:30 pm,9:00 pm
February Film Feast,2025-02-01,,
The Thinking Game (Film),2025-02-02,7:00 pm,9:00 pm
International Guitar Night XXV,2025-02-05,7:00 pm,9:00 pm
Macbeth: David Tennant & Cush Jumbo,2025-02-09,2:00 pm,4:00 pm
ULTIMATE CITIZENS,2025-02-12,7:00 pm,9:00 pm
Jen Kober,2025-02-14,7:00 pm,9:00 pm
Jackie Robinson: A Game Apart,2025-02-21,7:00 pm,9:00 pm
My Own Normal,2025-02-26,,
