ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!",event,Television,Event,Instance,The Idaho Statesman,ParentMap
506100557,03/27/2024 9:03 PM,No,No,No,No,No,No,Yes,Yes,No,No,No,No,56-65,"$200,001 or above","Although the volume was a little quiet for me in the back, I was in fact able to hear and found it to be a wonderful experience.  ",I always drink water at the shows and feel bad about the bottles. Maybe a water cooler would be nice? ,VISHNIAC,,,,,
506102816,03/27/2024 9:09 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",Loved it!,"Totally enjoyed the event.
Thank you for offering this.",VISHNIAC,,,,,
506104380,03/27/2024 9:18 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,66+,"$50,001 - $100,000","Excellent film!  Sound quality was a little muddy and the screen seemed to be be a bit wavy, but not too bad.  And better to see this at your theater than on my computer or home TV.","I understand your preference for selling tickets in advance, but perhaps allow an option of not selecting seats? In this case the small-ish crowd ended up bunched together due to that requirement, and I was initially seated behind a really tall person. Luckily we were able to move down a few seats so I could see.
Also it looks like you are bringing more films to Gesa--great! I hope you'll send out emails about these.",VISHNIAC,,,,,
506108657,03/27/2024 9:29 PM,Yes,No,No,No,No,No,No,No,No,No,No,No,56-65,"$50,001 - $100,000","The documentary was fantastic, very interesting and the photography, spectacular.","Nice staff and volunteers, thank you.",VISHNIAC,,,,,
506285350,03/28/2024 8:23 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",very interesting film; no problems with showing; comfortable seating and viewing,,VISHNIAC,,,,,
506698564,03/29/2024 12:28 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$50,001 - $100,000",Wonderful documentary!,,VISHNIAC,,,,,
522374910,04/24/2024 7:08 PM,Yes,No,No,No,No,No,No,No,Yes,No,No,No,66+,,The quality of the documentary chosen to air at the theatre was exceptional.  More of that please!  Lighting and sound were very acceptable.,"One had to pay strict attention to what was enveloping on the screen.  Based on the rate at which the photos played through, it was quite literally like fast film.  What a treasure of a story and collection of memories.  Extremely touching that one would unwrap themselves and their family's true history before an audience.  A good educational experience.",VISHNIAC,,,,,
430629048,09/09/2023 9:37 PM,No,No,,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Superb,"None: it was brilliantly conceived, directed, and executed.
A great performance.",HILWIL,,,,,
430629518,09/09/2023 9:38 PM,No,No,,No,No,No,No,No,No,Yes,No,No,56-65,"$50,001 - $100,000",Wonderful,,HILWIL,,,,,
430636300,09/09/2023 10:12 PM,No,No,,No,No,No,No,Yes,No,No,No,No,56-65,"$50,001 - $100,000",Excellent! It was powerful and very well done in every respect.,,HILWIL,,,,,
430639244,09/09/2023 10:28 PM,No,No,,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Excelent,,HILWIL,,,,,
430669275,09/10/2023 3:56 AM,Yes,No,,No,No,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",Great,,HILWIL,,,,,
430700322,09/10/2023 6:58 AM,Yes,No,,No,No,No,No,No,No,No,No,No,66+,"$50,000 or below",Loved it!  Talent and expertise right here in Walla Walla.  Would attend any play that Nancy Simon directs and Tim Golden participates.  What a voice and important story!,,HILWIL,,,,,
430745400,09/10/2023 9:49 AM,No,No,,No,No,No,No,No,Yes,No,Yes,No,56-65,"$100,001 - $200,000","Impressive, extremely relevant, a very powerful play to an appreciative packed house. The sound, staging and lobby setup were very professional and made the experience enjoyable.","The one element I would recommend is to turn the lights over the audience off.  If that is not possible because of safety regulations, at least they could be dimmed down to a level comfortable to be able to focus on the stage.",HILWIL,,,,,
430790358,09/10/2023 12:30 PM,Yes,No,,No,No,No,No,No,No,No,No,No,66+,"$50,001 - $100,000","It was an exceptional performance of a riveting play.  The set and stage direction enhanced the play.  The sound was a bit muffled a few times.  I was in the second row.  It was chilly, but I expected that so brought a jacket.",,HILWIL,,,,,
430859096,09/10/2023 4:26 PM,Yes,No,,No,No,No,Yes,No,No,No,Yes,No,66+,"$50,001 - $100,000",The play was fantastic and the actor was perfect for the role.,,HILWIL,,,,,
430889983,09/10/2023 6:04 PM,Yes,No,,No,No,No,No,No,Yes,No,Yes,No,66+,"$50,000 or below",Quality presentation,,HILWIL,,,,,
431034396,09/11/2023 7:27 AM,No,No,,No,No,No,No,No,Yes,No,No,Yes,66+,"$50,001 - $100,000",outstanding,We appreciated being able to attend an AFTERNOON performance as we live 40 miles away and do not drive after dark.  Thank you!,HILWIL,,,,,
431097852,09/11/2023 10:28 AM,No,No,,No,No,No,No,No,No,No,Yes,No,66+,,Wonderful!  Wish more people had been there.,I was nearby when an older lady fell.  Staff was so great in dealing with the situation.  Found them seats more compatible with the woman’s needs and brought ice packs!   Kudos to staff!,HILWIL,,,,,
431106539,09/11/2023 10:58 AM,No,No,,No,No,No,No,No,No,No,No,Yes,36-45,,Loved it! Tim was great and we'd been really looking forward to this performance.,,HILWIL,,,,,
431113328,09/11/2023 11:12 AM,Yes,No,,No,No,No,No,No,Yes,No,No,No,66+,,"Was impressed with the ability of the sole performer, Tim Golden, to execute the play for two hours straight without any breaks.  That's an arduous task considering the intensity of the subject matter.  This is a good way to open lines of communication and fulfill the need to educate people regarding the lack of equity for the black community.","Would have appreciated the house lights not shining directly at me throughout the event.  Made it difficult to watch the performer on stage as the glare was a bit overwhelming.  I had to keep my head down for a good portion of the play.  Despite that, it was good experience.  Many thanks to the Director, Nancy Simon, for bringing this to the Powerhouse.",HILWIL,,,,,
431180846,09/11/2023 2:40 PM,No,No,,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Sterling event with a magnetic and brilliant performer; left with my brain fully engaged. No intermissions and the time flew. Everything worked wonderfully--thank you!,,HILWIL,,,,,
431208908,09/11/2023 4:18 PM,No,No,,No,No,No,No,No,Yes,No,Yes,No,66+,"$50,001 - $100,000","Great show. Good value, good logistics and a little known story that’s important to hear. 
Well done.",,HILWIL,,,,,
431294215,09/11/2023 9:17 PM,No,No,,No,No,No,Yes,No,No,No,No,No,56-65,"$50,001 - $100,000","Wonderful!  Enjoyed the music, lighting, sound.  The artist was exceptional!",,HILWIL,,,,,
431311494,09/11/2023 11:04 PM,No,No,,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Excellent!,I can't think of anything.,HILWIL,,,,,
452046673,11/15/2023 10:50 PM,No,No,,No,No,No,No,Yes,No,No,No,No,66+,"$50,001 - $100,000","Good.,",Did not enjoy the movie. Left early ,Grapefruit,,,,,
452059598,11/16/2023 1:10 AM,No,No,,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below","All was wonderful except one excerpt in the film where the sound was quite muffled. Others noticed it, as well.   But I loved the film! ","I had a very nice experience, overall. Thank you!",Grapefruit,,,,,
